	Ahr	Arid2	Arid3a	Arid3b	Arnt	Arntl	Ascl2	Atf3	Atf5	Bach1	Bach2	Barhl1	Batf	Batf3	Bcl11a	Bcl11b	Bcl6	Bclaf1	Bhlhe40	Cebpa	Cebpb	Cebpd	Cebpe	Cebpg	Cenpb	Chd2	Cic	Creb1	Creb3	Creb3l2	Creb3l3	Creb3l4	Creb5	Ctcf	Ddit3	Deaf1	Dnmt1	E2f1	E2f3	E2f4	E2f5	E2f6	E2f8	Ebf1	Egr1	Egr2	Egr3	Elf1	Elf2	Elk1	Elk3	Elk4	Ep300	Erf	Erg	Ets1	Etv3	Etv5	Etv6	Fli1	Fos	Fosb	Fosl1	Fosl2	Gabpa	Gli1	Gli2	Glis3	Gtf2i	Hes1	Hey1	Hey2	Heyl	Hic1	Hic2	Hinfp	Hivep1	Hivep2	Hivep3	Hmg20b	Hnf4g	Hoxa2	Hsf1	Ikzf1	Ikzf3	Ikzf5	Irf1	Jun	Junb	Jund	Klf10	Klf11	Klf12	Klf13	Klf16	Klf2	Klf3	Klf4	Klf5	Klf7	Klf9	Lcor	Lin54	Lyl1	Maf	Mafk	Max	Maz	Mbd2	Mef2a	Mef2c	Mitf	Mlx	Mlxipl	Mxi1	Myc	Mycn	Nfatc2	Nfatc3	Nfatc4	Nfe2	Nfe2l1	Nfe2l2	Nfib	Nfix	Nfkb1	Nfkb2	Nfya	Nr1d1	Nr1d2	Nr1h2	Nr1h3	Nr1i3	Nr2c2	Nr3c1	Nr4a1	Nr4a3	Nr6a1	Nrf1	Patz1	Pax5	Pbx2	Pbx3	Plag1	Pou2f2	Ppard	Pparg	Prdm1	Prdm4	Prkrir	Pura	Rbpj	Rel	Rela	Relb	Rest	Rfx5	Rfx7	Rreb1	Runx2	Rxra	Sall1	Satb1	Satb2	Setdb1	Six5	Smad1	Smarcc1	Smarcc2	Snai1	Sox9	Sp1	Sp2	Sp3	Sp4	Srebf1	Srebf2	Srf	Stat1	Stat2	Stat5a	Stat5b	Taf1	Tal1	Tbx2	Tcf12	Tcf7l2	Tead2	Tfdp1	Tfe3	Tfeb	Tfec	Tgif1	Thap1	Thra	Trerf1	Trim28	Usf1	Usf2	Ybx1	Yy1	Yy2	Zbtb14	Zbtb33	Zbtb4	Zbtb42	Zbtb49	Zbtb6	Zbtb7a	Zbtb7b	Zeb1	Zfp1	Zfp105	Zfp110	Zfp143	Zfp148	Zfp182	Zfp219	Zfp263	Zfp281	Zfp369	Zfp467	Zfp521	Zfp523	Zfp524	Zfp628	Zfp652	Zfp784	Zfx	Zkscan1	Zkscan3
Tcf12	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	1.0	0.5	1.0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0.5	0	1.0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	1.0	0	0.5	0	1.0	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	0	0.5	0	1.0	0	0	0.5	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0.5	0	1.0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	1.0	0	0.5	0	0	1.0	1.0	0	0	0.5	0	0	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0.5	0	0
Tcf3	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	-0.5	0	-0.5	0	0	-0.5	0	0	-0.5	0	-0.5	-1.0	0	-1.0	0	0	-1.0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	-1.0	0	-1.0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	-1.0	0	-1.0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	-1.0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-1.0	0	0	-0.5	-1.0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0
Tcf4	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tcirg1	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0	0.5	1.0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	1.0	0	0.5	1.0	0.5	0.5	0	0.5	0.5	1.0	0	1.0	0.5	1.0	1.0	1.0	1.0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0.5	1.0	0.5	1.0	0.5	0	0	0	0	0.5	0	0	0	0	0	0
Tcn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	1.0	0	0	0	0	0	1.0	0	0.5	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0.5	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0
Tcp10b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	-1.0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-1.0	-1.0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Tcp11	0.5	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	1.0	0.5	1.0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	1.0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	1.0	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0
Tcp11l2	0	0	1.0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0.5	1.0	1.0	0	0	1.0	0.5	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	1.0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0.5	1.0	0	0.5	0	0	1.0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0
Tdp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tdrd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	1.0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0.5	1.0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	1.0	1.0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
Tead2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0.5	1.0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	1.0	0	0	0	0	1.0	1.0	0.5	0.5	0	0	0	0	1.0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
Tead3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
Tec	0	0	1.0	0	0	0	0	1.0	1.0	0	0.5	0	0	0	0.5	0	0	0	0	0.5	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0.5	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	0.5	0.5	0.5	0	0	0.5	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	0	0	0	1.0	0.5	0.5	0	0.5	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	1.0	0	0	0	1.0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	1.0	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	1.0	1.0	0.5	0	0.5	1.0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0.5	0	0.5	0	0	0	0	1.0	0	0	0	0	1.0	1.0	0	0.5	0	0	1.0	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0
Tecpr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
Tef	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0.5	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	1.0	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0.5	1.0	0	0	0	0	0	0	0.5	0	0	0.5	1.0	0	0.5	0	0	0.5	0	0.5	0.5	0	0	1.0	0.5	1.0	1.0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	1.0	1.0	0	0	0.5	0	1.0	0	0	0.5	0.5	0	1.0	0	0.5	0	1.0	1.0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0.5	0	0
Telo2	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ten1	0	0	0	0	-1.0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	0	0	0	0	0	-1.0	0	-0.5	0	0	-0.5	-0.5	-0.5	0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	0	-0.5	0	0	0	0	-0.5	-0.5	-1.0	0	-1.0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-1.0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-1.0	0	0	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Tenm4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-1.0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
Tep1	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	-1.0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0
Tesc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tesk2	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1.0	0.5	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	1.0	0	0	1.0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	1.0	0	0	0	0.5	0	0	0	1.0	0.5	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0
Tet2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Tex14	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0.5	0	1.0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0.5	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	1.0	1.0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
